user_input,retrieved_contexts,response,faithfulness,answer_relevancy
How much does it cost to call Indonesia?,"['Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'Archived 2025 public rate card for historical reference only. Basic plan rates included Indonesia $0.09 per minute, Singapore $0.04 per minute, and United States $0.07 per minute.\n\nThis article was superseded by the 2026 public rate card. It must not be used for live customer quotes.', 'Pro plan outbound voice rates effective 2026-01-01: Indonesia $0.09 per minute, Singapore $0.04 per minute, United States $0.06 per minute, Hong Kong $0.05 per minute, Netherlands $0.05 per minute.\n\nEnterprise pricing is usually contract-specific and often 10% to 20% below the Pro public rate card. If an Enterprise customer asks for a price and their individual rate card is not available in the knowledge base, the assistant should say that pricing depends on contract terms.', 'Typical provisioning lead times are: Singapore 1 to 3 business days, Netherlands 3 to 5 business days, and Indonesia 5 to 10 business days. Porting requests can take 2 to 6 weeks depending on the losing carrier.\n\nIndonesia number orders may require business registration and local address documentation before provisioning starts.', ""Customers can use the service while travelling if roaming or international use is enabled for the workspace and local regulations permit it. OmniComm still charges the normal destination rate for the call or message. Separate data-roaming or local carrier charges may apply through the customer's mobile or internet provider.\n\nFor browser or softphone usage abroad, a stable internet connection is essential. Roaming does not change support SLAs or API rate limits.""]","The cost to call Indonesia depends on your plan. For the Basic plan, outbound voice calls to Indonesia are $0.12 per minute [kb_002]. For the Pro plan, the rate is $0.09 per minute [kb_003]. Enterprise pricing is typically contract-specific [kb_003]. All rates exclude any taxes or external carrier surcharges [kb_002].",1.0,
"I'm on the Pro plan and travelling in Singapore. Can I still use the service to call US numbers, and what extra charges should I expect?","['Pro plan outbound voice rates effective 2026-01-01: Indonesia $0.09 per minute, Singapore $0.04 per minute, United States $0.06 per minute, Hong Kong $0.05 per minute, Netherlands $0.05 per minute.\n\nEnterprise pricing is usually contract-specific and often 10% to 20% below the Pro public rate card. If an Enterprise customer asks for a price and their individual rate card is not available in the knowledge base, the assistant should say that pricing depends on contract terms.', 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'The platform does not support calls to emergency services, premium-rate numbers, short codes, or satellite phones. If a requested destination is unsupported, the assistant should say so clearly and should not suggest unsupported workarounds.\n\nHigh-volume campaign calling to some countries may require compliance review before activation.', ""Customers can use the service while travelling if roaming or international use is enabled for the workspace and local regulations permit it. OmniComm still charges the normal destination rate for the call or message. Separate data-roaming or local carrier charges may apply through the customer's mobile or internet provider.\n\nFor browser or softphone usage abroad, a stable internet connection is essential. Roaming does not change support SLAs or API rate limits."", 'Archived 2025 public rate card for historical reference only. Basic plan rates included Indonesia $0.09 per minute, Singapore $0.04 per minute, and United States $0.07 per minute.\n\nThis article was superseded by the 2026 public rate card. It must not be used for live customer quotes.']","Yes, you can use the service while traveling in Singapore to call US numbers if roaming or international use is enabled for your workspace and local regulations permit it [kb_004]. OmniComm will charge the normal destination rate for the call, which is $0.06 per minute for Pro plan customers calling the United States, effective 2026-01-01 [kb_003, kb_004]. You should expect separate data-roaming or local carrier charges to apply through your mobile or internet provider [kb_004].",0.625,
Our calls drop almost exactly at the 2-minute mark when going through our office firewall. What should we check first?,"['Dropped calls are commonly caused by unstable connectivity, packet loss above 3%, jitter above 30 ms, SIP session timer mismatch, or network devices closing RTP traffic too aggressively.\n\nIf calls fail or drop at a fixed interval such as exactly 120 seconds, first inspect SIP session refresh behavior and firewall or NAT UDP timeout settings. This pattern is more consistent with session expiry than random carrier instability.', 'For SIP trunking and softphone traffic, allow SIP on ports 5060 or 5061 and open RTP UDP ports 10000 to 20000. Disable SIP ALG where possible, and increase firewall UDP timeout to at least 180 seconds.\n\nSupported codecs include G.711 and G.729. Incorrect codec negotiation, blocked RTP ranges, or short UDP timeout values can cause one-way audio or dropped calls.', 'For browser-based calling, recommend a stable wired or high-quality Wi-Fi connection, at least 100 kbps of available bandwidth per stream, and minimal packet loss. Corporate VPNs and traffic inspection proxies can introduce jitter and RTP interruption.', 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'If two charges appear for the same call_id or message_id within 24 hours, treat the issue as a possible duplicate charge. Ask for the invoice ID or account ID, the date and time of the event, the destination number, and the affected call IDs or message IDs.\n\nBilling disputes should be opened within 30 days of the invoice date. Clear duplicate charges can be reversed; otherwise support should open an investigation with billing operations.']","If your calls are dropping at a fixed interval, such as exactly 120 seconds (2 minutes), you should first inspect the SIP session refresh behavior and your firewall or NAT UDP timeout settings [kb_013]. Short UDP timeout values can cause dropped calls [kb_014]. It is recommended to increase your firewall UDP timeout to at least 180 seconds [kb_014].",1.0,
"I was charged twice for the same call yesterday. What information do you need from me, and how long would a refund take if it is confirmed?","['If two charges appear for the same call_id or message_id within 24 hours, treat the issue as a possible duplicate charge. Ask for the invoice ID or account ID, the date and time of the event, the destination number, and the affected call IDs or message IDs.\n\nBilling disputes should be opened within 30 days of the invoice date. Clear duplicate charges can be reversed; otherwise support should open an investigation with billing operations.', 'Refunds or credits apply to confirmed billing errors and failed platform services. Standard refund processing takes 5 to 7 business days after validation.\n\nCarrier rejections caused by invalid numbers, blocked destinations, or customer misconfiguration are not automatically refundable. For major service incidents, customers may be eligible for service credits under the uptime policy rather than per-call refunds.', 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'Webhook deliveries are retried up to five times over approximately 15 minutes when the receiving endpoint returns a non-2xx response or times out. Use idempotency on the receiving side because retries can produce duplicate event deliveries.\n\nWebhook events are signed with an HMAC header and should be verified before processing.', 'Dropped calls are commonly caused by unstable connectivity, packet loss above 3%, jitter above 30 ms, SIP session timer mismatch, or network devices closing RTP traffic too aggressively.\n\nIf calls fail or drop at a fixed interval such as exactly 120 seconds, first inspect SIP session refresh behavior and firewall or NAT UDP timeout settings. This pattern is more consistent with session expiry than random carrier instability.']","If two charges appear for the same call ID within 24 hours, it's treated as a possible duplicate charge [kb_006]. To investigate, please provide the invoice ID or account ID, the date and time of the event, the destination number, and the affected call IDs [kb_006]. If a clear duplicate charge is confirmed, it can be reversed [kb_006]. Standard refund processing for confirmed billing errors takes 5 to 7 business days after validation [kb_007].",1.0,
"We hit 429s during a launch at around 120 requests per second. What is the rate limit, and what should we do right now?","['Old internal note: default API throughput was 60 requests per second per account. This note is deprecated and replaced by the current API rate-limit policy.', 'The default REST API limit is 100 requests per second per account. Short bursts up to 120 requests per second are tolerated for up to 30 seconds. Sustained traffic above the limit will return HTTP 429 throttling responses.\n\nRecommended mitigation: batch work where possible, queue requests, implement exponential backoff with jitter, and contact support if you need a sustained higher throughput tier. Webhook deliveries do not count toward the REST API rate limit.', 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'For browser-based calling, recommend a stable wired or high-quality Wi-Fi connection, at least 100 kbps of available bandwidth per stream, and minimal packet loss. Corporate VPNs and traffic inspection proxies can introduce jitter and RTP interruption.', 'Archived 2025 public rate card for historical reference only. Basic plan rates included Indonesia $0.09 per minute, Singapore $0.04 per minute, and United States $0.07 per minute.\n\nThis article was superseded by the 2026 public rate card. It must not be used for live customer quotes.']","The default REST API limit is 100 requests per second per account, though short bursts up to 120 requests per second are tolerated for up to 30 seconds [kb_011]. Sustained traffic above this limit will result in HTTP 429 throttling responses [kb_011]. To mitigate this, you should batch work where possible, queue requests, and implement exponential backoff with jitter [kb_011]. If you require a sustained higher throughput tier, you should contact support [kb_011].",1.0,
Our SMS to Indonesian users are arriving late in the evening. What are the likely causes and what should we verify first?,"['SMS delivery delays can happen because of carrier filtering, invalid E.164 formatting, unregistered sender IDs, or temporary network congestion. Check delivery receipts before resending large batches.\n\nFor Indonesia, promotional traffic may be slower during evening peak periods. Transactional traffic should use an approved sender ID or verified route where available.', 'Typical provisioning lead times are: Singapore 1 to 3 business days, Netherlands 3 to 5 business days, and Indonesia 5 to 10 business days. Porting requests can take 2 to 6 weeks depending on the losing carrier.\n\nIndonesia number orders may require business registration and local address documentation before provisioning starts.', 'Dropped calls are commonly caused by unstable connectivity, packet loss above 3%, jitter above 30 ms, SIP session timer mismatch, or network devices closing RTP traffic too aggressively.\n\nIf calls fail or drop at a fixed interval such as exactly 120 seconds, first inspect SIP session refresh behavior and firewall or NAT UDP timeout settings. This pattern is more consistent with session expiry than random carrier instability.', 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'Basic customers receive email support with a target first response within 1 business day. Pro customers receive business-hours support with a target first response within 4 business hours. Enterprise customers receive 24/7 support for P1 incidents with a target first response within 30 minutes.\n\nEscalations related to outages, fraud, or suspended production traffic should be marked clearly in the support ticket.']","SMS delivery delays to Indonesian users in the evening are likely due to promotional traffic being slower during evening peak periods [kb_015]. Other general causes for SMS delivery delays include carrier filtering, invalid E.164 formatting, unregistered sender IDs, or temporary network congestion [kb_015]. You should verify delivery receipts before resending large batches [kb_015]. For transactional traffic, ensure you are using an approved sender ID or verified route where available [kb_015].",1.0,
"How long do WhatsApp template approvals usually take, and when is a template required?","['WhatsApp template approvals usually take 1 to 2 business days. Templates are commonly rejected for promotional wording, unsupported variables, or missing policy context.\n\nAfter the 24-hour customer care window closes, outbound WhatsApp messages require an approved template.', 'For confirmed P1 incidents, status updates are sent every 30 minutes until the incident is mitigated. A written root cause analysis is normally delivered within 5 business days.\n\nCustomers who believe they are eligible for uptime credits should submit the request within 30 days after the end of the affected billing month.', 'Typical provisioning lead times are: Singapore 1 to 3 business days, Netherlands 3 to 5 business days, and Indonesia 5 to 10 business days. Porting requests can take 2 to 6 weeks depending on the losing carrier.\n\nIndonesia number orders may require business registration and local address documentation before provisioning starts.', 'Basic customers receive email support with a target first response within 1 business day. Pro customers receive business-hours support with a target first response within 4 business hours. Enterprise customers receive 24/7 support for P1 incidents with a target first response within 30 minutes.\n\nEscalations related to outages, fraud, or suspended production traffic should be marked clearly in the support ticket.', 'Workspace admins can request transcript exports through support. Standard export requests are fulfilled within 3 business days. Deletion requests are processed within 30 days and deleted transcripts cannot be recovered afterward.']",WhatsApp template approvals typically take 1 to 2 business days [kb_016]. An approved template is required for outbound WhatsApp messages after the 24-hour customer care window has closed [kb_016].,1.0,
"How long are call transcripts kept, and can summaries be turned off without deleting old ones?","['Call transcripts are retained for 90 days on Basic and Pro workspaces and 180 days on Enterprise by default. AI-generated call summaries can be disabled at the workspace level.\n\nIf summaries are disabled, new summaries stop being generated, but existing summaries remain visible until the normal retention period ends or a deletion request is processed.', 'Workspace admins can request transcript exports through support. Standard export requests are fulfilled within 3 business days. Deletion requests are processed within 30 days and deleted transcripts cannot be recovered afterward.', 'Transcription quality can degrade with strong background noise, overlapping speakers, mixed-language conversations, poor microphone setup, or heavy accents. Generated transcripts are helpful for search and summaries but should not be treated as the sole compliance record.', 'If two charges appear for the same call_id or message_id within 24 hours, treat the issue as a possible duplicate charge. Ask for the invoice ID or account ID, the date and time of the event, the destination number, and the affected call IDs or message IDs.\n\nBilling disputes should be opened within 30 days of the invoice date. Clear duplicate charges can be reversed; otherwise support should open an investigation with billing operations.', 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.']","Call transcripts are retained for 90 days on Basic and Pro workspaces and 180 days on Enterprise by default [kb_017]. AI-generated call summaries can be disabled at the workspace level [kb_017]. If summaries are disabled, new summaries will stop being generated, but existing summaries will remain visible until their normal retention period ends or a deletion request is processed [kb_017].",1.0,
Can the platform call emergency services or satellite phones?,"['The platform does not support calls to emergency services, premium-rate numbers, short codes, or satellite phones. If a requested destination is unsupported, the assistant should say so clearly and should not suggest unsupported workarounds.\n\nHigh-volume campaign calling to some countries may require compliance review before activation.', ""Customers can use the service while travelling if roaming or international use is enabled for the workspace and local regulations permit it. OmniComm still charges the normal destination rate for the call or message. Separate data-roaming or local carrier charges may apply through the customer's mobile or internet provider.\n\nFor browser or softphone usage abroad, a stable internet connection is essential. Roaming does not change support SLAs or API rate limits."", 'Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'For SIP trunking and softphone traffic, allow SIP on ports 5060 or 5061 and open RTP UDP ports 10000 to 20000. Disable SIP ALG where possible, and increase firewall UDP timeout to at least 180 seconds.\n\nSupported codecs include G.711 and G.729. Incorrect codec negotiation, blocked RTP ranges, or short UDP timeout values can cause one-way audio or dropped calls.', 'For browser-based calling, recommend a stable wired or high-quality Wi-Fi connection, at least 100 kbps of available bandwidth per stream, and minimal packet loss. Corporate VPNs and traffic inspection proxies can introduce jitter and RTP interruption.']","No, the platform does not support calls to emergency services or satellite phones [kb_005].",1.0,
I saw a document saying Indonesia calls are $0.09 per minute on Basic. Is that still current?,"['Basic plan outbound voice rates effective 2026-01-01: Indonesia $0.12 per minute, Singapore $0.05 per minute, United States $0.08 per minute, Hong Kong $0.07 per minute, Netherlands $0.06 per minute.\n\nRates exclude any taxes or external carrier surcharges. Calls are billed per minute and rounded up to the next 30-second increment after the first minute.', 'Archived 2025 public rate card for historical reference only. Basic plan rates included Indonesia $0.09 per minute, Singapore $0.04 per minute, and United States $0.07 per minute.\n\nThis article was superseded by the 2026 public rate card. It must not be used for live customer quotes.', 'Pro plan outbound voice rates effective 2026-01-01: Indonesia $0.09 per minute, Singapore $0.04 per minute, United States $0.06 per minute, Hong Kong $0.05 per minute, Netherlands $0.05 per minute.\n\nEnterprise pricing is usually contract-specific and often 10% to 20% below the Pro public rate card. If an Enterprise customer asks for a price and their individual rate card is not available in the knowledge base, the assistant should say that pricing depends on contract terms.', 'The platform does not support calls to emergency services, premium-rate numbers, short codes, or satellite phones. If a requested destination is unsupported, the assistant should say so clearly and should not suggest unsupported workarounds.\n\nHigh-volume campaign calling to some countries may require compliance review before activation.', 'Typical provisioning lead times are: Singapore 1 to 3 business days, Netherlands 3 to 5 business days, and Indonesia 5 to 10 business days. Porting requests can take 2 to 6 weeks depending on the losing carrier.\n\nIndonesia number orders may require business registration and local address documentation before provisioning starts.']","No, the $0.09 per minute rate for Indonesia on the Basic plan is no longer current [kb_019]. That rate was part of the 2025 public rate card, which has been superseded and is deprecated [kb_019]. The current outbound voice rate for Indonesia on the Basic plan, effective 2026-01-01, is $0.12 per minute [kb_002].",1.0,
